"species" "treatment" "plantsp" "Mean_TimeToRob" "SE_TimeToRob" "Mean_TimeFeeding" "SE_TimeFeeding" "Mean_tacticswitch" "SE_tacticswitch"
"bifarius" "control" "corydalis" 5.41947368421053 0.637196288036692 7.76360526315789 0.637196288036692 0.157894736842105 0.0343026597848569
"flavifrons" "control" "corydalis" 5.24 0.672176934770431 8.03744680851064 0.672176934770431 0.127659574468085 0.0492029089619693
"bifarius" "mreu" "corydalis" 4.15624113475177 0.342826361698826 7.08780141843972 0.342826361698826 0.127659574468085 0.0282036734581448
"flavifrons" "mreu" "corydalis" 3.19953125 0.272068186621377 8.0384375 0.272068186621377 0.109375 0.0276952068645048
"flavifrons" "control" "mertensia" 7.11692307692308 1.08063522541031 9.25307692307692 1.08063522541031 0.282051282051282 0.072999343245876
"flavifrons" "mreu" "mertensia" 3.97358974358974 0.426121679952851 8.05987179487179 0.426121679952851 0.230769230769231 0.0480144449178738
