unique_name,sample,date,plantsp,bee,species,choice,plant,treatment,trytolegit,robbed,timetorob,timefeeding,flower#,notes,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,3,mreu,no,yes,0.89,18.44,2,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,3,mreu,no,yes,3.78,12.76,3,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,3,mreu,no,yes,1.06,3.47,4,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,2,mreu,no,yes,0.8,9.37,5,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,2,mreu,no,yes,2.04,8.42,6,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,2,mreu,no,yes,1.09,5.77,7,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,2,mreu,no,yes,0.57,5.25,8,,,
Jul-28_corydalis_6_mixtus,CORYMIXT008,Jul-28,corydalis,6,mixtus,yes,2,mreu,no,yes,0.6,10.01,9,,,
Jul-28_corydalis_7_bifarius,CORYBIF041,Jul-28,corydalis,7,bifarius,no,na,na,na,na,na,na,na,,,
Jul-28_corydalis_8_flavifrons,CORYFLAV035,Jul-28,corydalis,8,flavifrons,no,na,na,na,na,na,na,na,,,
Jul-28_corydalis_9_mixtus,CORYMIXT007,Jul-28,corydalis,9,mixtus,no,na,na,na,na,na,na,na,,,
Jul-28_corydalis_11_bifarius,CORYBIF042,Jul-28,corydalis,11,bifarius,yes,2,mreu,no,yes,0.97,12.82,1,,,
Jul-28_corydalis_11_bifarius,CORYBIF042,Jul-28,corydalis,11,bifarius,yes,1,mreu,no,yes,0.63,1.6,2,,,
Jul-28_corydalis_12_flavifrons,CORYFLAV036,Jul-28,corydalis,12,flavifrons,no/dead,na,na,na,na,na,na,na,,,
Jul-27_corydalis_1_bifarius,CORYBIF036,Jul-27,corydalis,1,bifarius,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_2_bifarius,CORYBIF037,Jul-27,corydalis,2,bifarius,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_3_bifarius,CORYBIF038,Jul-27,corydalis,3,bifarius,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_4_flavifrons,CORYFLAV033,Jul-27,corydalis,4,flavifrons,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_5_flavifrons,CORYFLAV032,Jul-27,corydalis,5,flavifrons,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_6_bifarius,CORYBIF035,Jul-27,corydalis,6,bifarius,no,0,na,na,na,na,na,na,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,yes,yes,1.82,3.99,9,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,no,yes,0,7.93,10,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,no,yes,5.56,2.44,11,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,no,yes,15.7,3.68,12,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,6,control,no,yes,1.87,1.02,13,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,yes,yes,7.07,13.86,3,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,no,yes,0,3.93,4,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,5,mreu,no,yes,0,1.85,5,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,yes,yes,13.17,16.91,6,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,no,yes,0,21.38,7,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,no,yes,6.6,10.33,16,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,no,yes,10.08,10.11,17,,,
Jul-27_corydalis_7_flavifrons,CORYFLAV031,Jul-27,corydalis,7,flavifrons,yes,3,mreu,no,yes,14.75,33.95,18,,,
